Plant,Dest. Desc.,Final Destination,MODE,Distance in KM,Direct Road Freight,Per Km Price,Proposed Price,Proposed Price /KM,Diff B/W Old And Propose Rate,Final_Price
1110,SIRSA,N000000153,LOR,1336.0,3375,2.5261976047904193,3847.5,2.879865269461078,472.5,4893.75
1110,SOLAN,N000000102,LOR,1640.0,3650,2.225609756097561,4161.0,2.5371951219512194,511.0,5292.5
1110,SOPORE MADHOPUR CROS,N000000169,LOR,1707.0,3650,2.1382542472173403,4161.0,2.437609841827768,511.0,5292.5
1110,SRI GANGANAGAR,N000000144,LOR,1320.0,3300,2.5,3762.0,2.85,462.0,4785.0
1110,SRIKAKULAM,S000000033,LOR,1992.0,5025,2.522590361445783,5728.5,2.8757530120481927,703.5,7286.25
1110,SURAJPUR,N000000029,LOR,1365.0,3275,2.399267399267399,3733.5,2.735164835164835,458.5,4748.75
1110,TADA MANDAL,S000000040,LOR,1600.0,4025,2.515625,4588.5,2.8678125,563.5,5836.25
1110,TARAPUR,W000000055,LOR,930.0,2200,2.3655913978494625,2508.0,2.696774193548387,308.0,3190.0
1110,UDAIPUR,N000000083,LOR,685.0,1675,2.4452554744525545,1909.5,2.7875912408759125,234.5,2428.75
1110,UJJAIN,W000000088,LOR,805.0,2375,2.950310559006211,2707.5,3.3633540372670807,332.5,3443.75
1110,VALSAD,W000000104,LOR,730.0,1500,2.0547945205479454,1710.0,2.3424657534246576,210.0,2175.0
1110,VARANASI,N000000086,LOR,1810.0,4400,2.430939226519337,5016.0,2.7712707182320444,616.0,6380.0
1110,VISAKHAPATNAM,S000000062,LOR,2015.0,4850,2.4069478908188584,5529.0,2.7439205955334987,679.0,7032.5
1110,WADA,W000000057,LOR,860.0,2375,2.761627906976744,2707.5,3.1482558139534884,332.5,3443.75
1110,YAMUNANAGAR,N000000088,LOR,1530.0,3400,2.2222222222222223,3876.0,2.533333333333333,476.0,4930.0
1110,YOVATMAL,W000000094,LOR,1323.0,2700,2.0408163265306123,3078.0,2.326530612244898,378.0,3915.0
